,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,STATUS,INCOME_AMT,SPECIAL_CONSIDERATIONS,IS_SUCCESSFUL,ASK_AMT_BIN
57,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
58,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,1,1000000
59,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
60,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
61,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
62,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
63,T5,Independent,C1000,ProductDev,Trust,1,100000-499999,N,1,1000000
64,T3,Family/Parent,C2000,Preservation,Trust,1,0,N,1,5000
65,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
66,Other,Independent,C1000,ProductDev,Trust,1,10M-50M,N,1,Other
67,T19,CompanySponsored,C1000,ProductDev,Association,1,25000-99999,N,0,1000000
68,T3,Independent,C1000,Preservation,Association,1,0,N,0,5000
69,T3,Independent,Other,Preservation,Trust,1,100000-499999,N,1,Other
70,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
71,T3,Independent,Other,Preservation,Trust,1,100000-499999,N,1,5000
72,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,1,5000
73,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
74,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
75,T5,CompanySponsored,C1000,ProductDev,Trust,1,0,N,0,5000
76,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
77,T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,1,50000
78,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
79,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
80,T3,Independent,C1000,Preservation,Association,1,0,N,0,5000
81,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,1,1000000
82,T3,Independent,Other,Preservation,Trust,1,0,N,0,5000
83,T6,Independent,C2000,ProductDev,Trust,1,25000-99999,N,1,1000000
84,T3,Independent,Other,Preservation,Trust,1,25000-99999,N,1,5000
85,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,1,5000
86,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,0,1000000
87,T3,Independent,Other,Preservation,Trust,1,1M-5M,N,0,Other
88,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
89,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
90,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
91,T3,CompanySponsored,C2000,Preservation,Trust,1,25000-99999,N,0,50000
92,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
93,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
94,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
95,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
96,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
97,T3,CompanySponsored,C1200,CommunityServ,Trust,1,0,N,0,5000
98,T3,CompanySponsored,C1200,CommunityServ,Trust,1,0,N,0,5000
99,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
100,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
101,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
102,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,50000
103,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,1,Other
104,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
105,T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
106,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
107,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
108,T4,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
109,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
110,T4,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
111,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
112,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
113,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
114,T3,Independent,Other,Preservation,Trust,1,10000-24999,N,1,5000
115,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,5000
116,T3,CompanySponsored,C2000,CommunityServ,Trust,1,0,N,1,5000
117,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
118,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
119,T4,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
120,T8,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
121,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
122,T6,Independent,C1000,ProductDev,Trust,1,0,N,0,5000
123,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
124,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
125,T3,Independent,C1000,Preservation,Association,1,0,N,1,5000
126,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
127,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
128,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
129,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
130,T3,Independent,C2100,Preservation,Trust,1,1-9999,N,1,5000
131,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
132,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
133,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
134,T6,Independent,C2000,ProductDev,Trust,1,1-9999,N,1,5000
135,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
136,T3,Independent,Other,Preservation,Trust,1,25000-99999,N,1,1000000
137,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,50000
138,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
139,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
140,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
141,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
142,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
143,T3,Independent,C1000,Preservation,Association,1,1-9999,N,1,5000
144,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
145,T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,1,Other
146,T5,Independent,C3000,ProductDev,Trust,1,0,N,0,5000
147,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
148,T4,CompanySponsored,C3000,Preservation,Association,1,0,N,0,5000
149,T3,Independent,C2100,Preservation,Trust,1,0,N,1,5000
150,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
151,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
152,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,0,50000
153,T6,Independent,C2000,ProductDev,Trust,1,0,N,0,5000
154,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
155,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
156,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
157,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
158,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,0,5000
159,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,1,50000
160,T3,Independent,Other,Preservation,Trust,1,25000-99999,N,1,1000000
161,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
162,T19,Independent,C1000,Preservation,Association,1,0,N,1,5000
163,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
164,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
165,T4,Independent,C1000,ProductDev,Co-operative,1,0,N,1,5000
166,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
167,T3,Independent,Other,ProductDev,Trust,1,10000-24999,N,1,50000
168,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
169,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
170,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
171,T7,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
172,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
173,T3,CompanySponsored,Other,Preservation,Association,1,0,N,0,5000
174,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,0,1000000
175,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
176,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
177,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
178,T3,CompanySponsored,Other,Preservation,Association,1,100000-499999,N,0,1000000
179,T4,Independent,C1000,ProductDev,Trust,1,0,N,0,5000
180,T3,Independent,C1200,Preservation,Trust,1,0,N,0,5000
181,T3,Independent,Other,Preservation,Trust,1,10000-24999,N,0,Other
182,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
183,T6,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
184,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
185,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,0,5000
186,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,1,5000
187,T6,Independent,C1000,ProductDev,Trust,1,25000-99999,N,1,50000
188,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
189,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
190,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
191,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
192,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
193,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
194,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,Other
195,Other,Independent,C1000,ProductDev,Co-operative,1,10M-50M,N,1,Other
196,Other,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
197,T5,Independent,C1000,ProductDev,Co-operative,1,25000-99999,N,1,1000000
198,T4,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
199,T3,Independent,Other,Preservation,Association,1,0,N,1,5000
200,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
201,T7,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
202,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
203,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,1,1000000
204,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
205,T6,Independent,C2000,ProductDev,Trust,1,0,N,1,5000
206,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
207,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
208,T8,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
209,T5,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
210,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,1,1000000
211,T3,Independent,C2000,Preservation,Association,1,0,N,0,5000
212,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,1,1000000
213,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
214,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
215,T7,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
216,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
217,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,1,1000000
218,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
219,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
220,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,1,5000
221,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
222,T3,Independent,C1200,Preservation,Association,1,0,N,1,5000
223,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
224,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,1,Other
225,T3,Independent,C1200,Preservation,Trust,1,0,N,0,5000
226,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
227,T8,Independent,C1000,Preservation,Association,1,0,N,0,5000
228,T7,Independent,C1000,ProductDev,Trust,1,1M-5M,N,0,1000000
229,T6,Independent,C1000,ProductDev,Trust,1,1M-5M,N,1,Other
230,T5,CompanySponsored,C3000,ProductDev,Association,1,1-9999,N,0,50000
231,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,1,1000000
232,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,5000
233,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
234,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
235,T3,CompanySponsored,Other,Preservation,Association,1,5M-10M,N,1,Other
236,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,5000
237,T5,Independent,C2000,ProductDev,Trust,1,10000-24999,N,1,Other
238,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
239,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
240,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
241,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,1000000
242,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,Other
243,T3,Independent,C1200,Preservation,Trust,1,5M-10M,N,1,Other
244,T10,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
245,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
246,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
247,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
248,T3,CompanySponsored,C1000,Preservation,Co-operative,1,0,N,0,5000
249,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,0,5000
250,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,0,5000
251,T6,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
252,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,0,5000
253,T6,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
254,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,0,5000
255,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,0,5000
256,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,0,5000
257,T3,Independent,Other,Preservation,Trust,1,0,N,0,5000
258,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
259,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
260,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,1,Other
261,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
262,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,50000
263,T7,CompanySponsored,C1000,ProductDev,Association,1,0,N,1,5000
264,T3,Independent,C1000,Heathcare,Trust,1,10M-50M,N,1,Other
265,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,1,50000
266,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
267,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,5000
268,T3,CompanySponsored,C2100,Preservation,Association,1,0,N,0,5000
269,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
270,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
271,T7,Independent,C1000,ProductDev,Association,1,0,N,0,5000
272,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,1000000
273,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
274,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
275,T3,CompanySponsored,C2000,Preservation,Association,1,25000-99999,N,0,1000000
276,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
277,T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
278,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
279,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
280,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
281,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
282,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
283,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
284,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
285,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
286,T3,Independent,C1000,Preservation,Trust,1,1-9999,N,1,5000
287,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
288,T4,Independent,C3000,ProductDev,Trust,1,0,N,1,5000
289,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,0,5000
290,T19,CompanySponsored,C1000,ProductDev,Trust,1,0,N,0,5000
291,T19,CompanySponsored,C1000,ProductDev,Trust,1,0,N,0,5000
292,T19,CompanySponsored,C1000,ProductDev,Trust,1,0,N,0,5000
293,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
294,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
295,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
296,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
297,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
298,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
299,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
300,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
301,T3,Independent,C2000,Preservation,Trust,1,0,N,0,5000
302,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
303,T3,Independent,Other,Preservation,Trust,1,100000-499999,N,1,1000000
304,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
305,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,1000000
306,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
307,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
308,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,1,50000
309,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
310,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
311,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
312,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,Other
313,T6,Independent,C2000,ProductDev,Trust,1,25000-99999,N,1,1000000
314,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
315,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,Other
316,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
317,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
318,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
319,T5,Independent,C3000,ProductDev,Association,1,0,N,0,5000
320,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
321,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,50000
322,T4,CompanySponsored,C3000,Preservation,Trust,1,0,N,0,5000
323,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
324,T3,Independent,C1000,Preservation,Association,1,0,N,1,5000
325,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
326,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
327,Other,Independent,C1000,Preservation,Co-operative,1,0,N,1,5000
328,T3,Independent,Other,Preservation,Trust,1,25000-99999,N,1,Other
329,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
330,T3,Independent,Other,Preservation,Trust,1,1M-5M,N,0,Other
331,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
332,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
333,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
334,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
335,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,1,1000000
336,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
337,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
338,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
339,T3,Independent,C1200,Preservation,Association,1,0,N,1,5000
340,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
341,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
342,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
343,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
344,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
345,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
346,T7,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
347,T4,CompanySponsored,C1000,ProductDev,Association,1,0,N,1,5000
348,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
349,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
350,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,1,50000
351,T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,1,1000000
352,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,1,Other
353,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
354,T3,CompanySponsored,C1200,CommunityServ,Trust,1,0,N,0,5000
355,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
356,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
357,T3,Independent,C2000,Preservation,Association,1,0,N,1,5000
358,T3,CompanySponsored,C2000,ProductDev,Trust,1,25000-99999,N,0,1000000
359,T3,Independent,C1200,Preservation,Trust,1,10000-24999,N,1,1000000
360,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
361,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
362,T3,Independent,C1200,Preservation,Trust,1,0,N,0,5000
363,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
364,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
365,T3,Independent,C1000,Preservation,Association,1,25000-99999,N,0,5000
366,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
367,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
368,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
369,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
370,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
371,T3,Independent,C1200,Preservation,Trust,1,0,N,0,5000
372,T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,0,Other
373,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,1,1000000
374,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
375,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
376,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
377,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
378,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,1,5000
379,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
380,T3,Independent,C1000,Preservation,Association,1,0,N,0,5000
381,T3,CompanySponsored,C1200,CommunityServ,Association,1,0,N,1,5000
382,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
383,T6,Independent,C2000,ProductDev,Trust,1,0,N,1,5000
384,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
385,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
